training_task,run_name,checkpoint_step
1,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,125
1,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,150
1,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,175
1,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,200
1,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,125
1,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,150
1,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,175
1,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,200
1,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,125
1,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,150
1,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,175
1,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,200
4,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,125
4,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,150
4,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,175
4,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,200
4,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,125
4,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,150
4,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,175
4,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,200
4,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,125
4,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,150
4,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,175
4,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,200
